3087579784,79,5.23,1/1408,http://farm4.staticflickr.com/3048/3087579784_8c15db07a6.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
2575491187,800,16.0,1/50,http://farm4.staticflickr.com/3110/2575491187_a6d33a4933.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
3087579784,79,5.23,1/1408,http://farm4.staticflickr.com/3048/3087579784_8c15db07a6.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
3087579784,79,5.23,1/1408,http://farm4.staticflickr.com/3048/3087579784_8c15db07a6.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
2575491187,800,16.0,1/50,http://farm4.staticflickr.com/3110/2575491187_a6d33a4933.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
2575491187,800,16.0,1/50,http://farm4.staticflickr.com/3110/2575491187_a6d33a4933.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
3087579784,79,5.23,1/1408,http://farm4.staticflickr.com/3048/3087579784_8c15db07a6.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
3087579784,79,5.23,1/1408,http://farm4.staticflickr.com/3048/3087579784_8c15db07a6.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
2575491187,800,16.0,1/50,http://farm4.staticflickr.com/3110/2575491187_a6d33a4933.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
2575491187,800,16.0,1/50,http://farm4.staticflickr.com/3110/2575491187_a6d33a4933.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
3087579784,79,5.23,1/1408,http://farm4.staticflickr.com/3048/3087579784_8c15db07a6.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
3087579784,79,5.23,1/1408,http://farm4.staticflickr.com/3048/3087579784_8c15db07a6.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
2575491187,800,16.0,1/50,http://farm4.staticflickr.com/3110/2575491187_a6d33a4933.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
5976671497,1250,5.6,1/60,http://farm7.staticflickr.com/6121/5976671497_1dc894f76b.jpg
5976673287,1000,5.6,1/80,http://farm7.staticflickr.com/6017/5976673287_e9afa64621.jpg
2575491187,800,16.0,1/50,http://farm4.staticflickr.com/3110/2575491187_a6d33a4933.jpg
5977237084,640,4.5,1/50,http://farm7.staticflickr.com/6021/5977237084_995856be4d.jpg
